question,answer,category,difficulty,active
What is cloud gaming?,Cloud gaming allows streaming games without downloading.,Technical,Beginner,Yes
What internet speed is needed?,Minimum 15 Mbps is required.,Technical,Beginner,Yes
Which platforms support cross-play?,"PC, Xbox, PlayStation, and Nintendo Switch.",Multiplayer,Intermediate,Yes
How long is the refund period?,14-day refund policy.,Purchases,Beginner,Yes
Is there a playtime limit for refunds?,"Yes, less than 2 hours.",Purchases,Intermediate,Yes
How much does premium subscription cost?,$14.99 per month.,Subscription,Beginner,Yes
What does premium subscription include?,Free games and exclusive discounts.,Subscription,Intermediate,Yes
How to troubleshoot technical issues?,Update graphics drivers and check server status.,Technical,Intermediate,Yes
Where to check server status?,On our server status page.,Technical,Beginner,Yes
What payment methods are accepted?,Credit cards and PayPal.,Purchases,Beginner,Yes
