id,frase,categoria
1,"O futebol é o esporte mais popular do mundo","esporte"
2,"A moda sustentável está ganhando força no mercado","moda"
3,"A física quântica revolucionou nosso entendimento do universo","ciencias"
4,"O basquete exige muita agilidade e precisão","esporte"
5,"As tendências de moda mudam rapidamente a cada estação","moda"
6,"A biologia molecular estuda os processos celulares","ciencias"
7,"A natação é um exercício completo para o corpo","esporte"
8,"O jeans é uma peça atemporal no guarda-roupa","moda"
9,"A astronomia nos permite explorar o cosmos","ciencias"
10,"O tênis requer concentração e reflexos rápidos","esporte"
11,"As cores neutras são versáteis para qualquer ocasião","moda"
12,"A genética é fundamental para entender a hereditariedade","ciencias"
13,"A maratona testa os limites da resistência humana","esporte"
14,"O estilo casual conquistou o mundo fashion","moda"
15,"A química orgânica estuda os compostos de carbono","ciencias"
16,"O vôlei é um esporte de equipe muito dinâmico","esporte"
17,"Os acessórios podem transformar qualquer look","moda"
18,"A neurociência busca compreender o cérebro humano","ciencias"
19,"O boxe desenvolve disciplina e condicionamento físico","esporte"
20,"O vestido preto é um clássico indispensável","moda"
21,"A ecologia preocupa-se com o equilíbrio ambiental","ciencias"
22,"O surf conecta o atleta com a força do mar","esporte"
23,"As estampas florais são tendência na primavera","moda"
24,"A matemática é a linguagem universal da ciência","ciencias"
25,"O ciclismo combina exercício e contato com a natureza","esporte"
26,"O couro genuíno oferedurabilidade e estilo","moda"
27,"A paleontologia revela segredos dos fósseis","ciencias"
28,"O judo ensina valores como respeito e honra","esporte"
29,"O estilo minimalista valoriza a simplicidade","moda"
30,"A robótica avança com inteligência artificial","ciencias"
31,"O skate é uma expressão de liberdade urbana","esporte"
32,"As roupas oversized estão em alta","moda"
33,"A geologia estuda a formação das rochas","ciencias"
34,"O golfe exige precisão e paciência","esporte"
35,"O veludo traz elegância e sofisticação","moda"
36,"A meteorologia prevê condições climáticas","ciencias"
37,"O atletismo engloba diversas modalidades olímpicas","esporte"
38,"As bolsas artesanais valorizam o trabalho manual","moda"
39,"A bioquímica une biologia e química","ciencias"
40,"O rugby é um esporte de intenso contato físico","esporte"
41,"O estilo vintage retorna às passarelas","moda"
42,"A oceanografia explora os mistérios marinhos","ciencias"
43,"A escalada rock climbing desafia vertigens","esporte"
44,"Os tecidos tecnológicos revolucionaram o sportswear","moda"
45,"A antropologia estuda as culturas humanas","ciencias"
46,"O badminton é rápido e estratégico","esporte"
47,"A moda genderless quebra padrões tradicionais","moda"
48,"A virologia tornou-se crucial após a pandemia","ciencias"
49,"O hipismo exige sintonia entre cavalo e cavaleiro","esporte"
50,"As joias sustentáveis utilizam materiais reciclados","moda"
