id,frase
1,"Adorei o filme que assisti ontem!"
2,"Que serviço péssimo, nunca mais volto aqui."
3,"Estou muito feliz com o resultado."
4,"Que dia mais chato e monótono."
5,"Produto de excelente qualidade, recomendo."
6,"Atendimento horrível, não indico para ninguém."
7,"Estou maravilhado com a paisagem."
8,"Que experiência decepcionante."
9,"Comida deliciosa, voltarei em breve."
10,"Que trânsito infernal nesta cidade."
11,"Me sinto incrível hoje!"
12,"Que notícia desanimadora."
13,"Serviço rápido e eficiente."
14,"Que filme tedioso, quase dormi."
15,"Estou encantado com o presente."
16,"Que situação desagradável."
17,"Produto superou minhas expectativas."
18,"Que pessoa irritante."
19,"Estou radiante de felicidade."
20,"Que performance medíocre."
21,"Local aconchegante e agradável."
22,"Que cheiro desagradável."
23,"Estou eufórico com a vitória."
24,"Que atendimento grosseiro."
25,"Viagem espetacular, inesquecível."
26,"Que filme assustador."
27,"Estou satisfeito com o serviço."
28,"Que calor insuportável."
29,"Presente perfeito, exatamente o que queria."
30,"Que barulho ensurdecedor."
31,"Estou animado para o final de semana."
32,"Que notícia chocante."
33,"Restaurante excelente, comida divina."
34,"Que filme confuso e sem sentido."
35,"Estou grato pela ajuda."
36,"Que situação constrangedora."
37,"Produto durável e funcional."
38,"Que pessoa falsa."
39,"Estou orgulhoso do meu time."
40,"Que serviço demorado."
41,"Praia maravilhosa, águas cristalinas."
42,"Que filme previsível."
43,"Estou contente com a compra."
44,"Que trânsito caótico."
45,"Show incrível, energia contagiante."
46,"Que comida sem sabor."
47,"Estou esperançoso para o futuro."
48,"Que notícia desesperadora."
49,"Hotel luxuoso e confortável."
50,"Que filme emocionante."
51,"Estou aliviado que tudo deu certo."
52,"Que cheiro enjoativo."
53,"Experiência única e memorável."
54,"Que pessoa negativa."
55,"Estou empolgado com o novo projeto."
56,"Que serviço desorganizado."
57,"Passeio divertido e relaxante."
58,"Que filme inspirador."
59,"Estou agradecido pelas oportunidades."
60,"Que situação estressante."
61,"Comida caseira saborosa."
62,"Que notícia animadora."
63,"Estou confiante no resultado."
64,"Que barulho irritante."
65,"Presente criativo e especial."
66,"Que filme comovente."
67,"Estou surpreso com a qualidade."
68,"Que atendimento desatento."
69,"Viagem tranquila e prazerosa."
70,"Que pessoa simpática."
71,"Estou motivado para novos desafios."
72,"Que notícia surpreendente."
73,"Produto prático e útil."
74,"Que filme hilário."
75,"Estou impressionado com o talento."
76,"Que situação complicada."
77,"Restaurante acolhedor, ambiente agradável."
78,"Que notícia desastrosa."
79,"Estou realizado profissionalmente."
80,"Que serviço ineficiente."
81,"Show emocionante, performance brilhante."
82,"Que comida gordurosa."
83,"Estou otimista sobre as mudanças."
84,"Que filme original."
85,"Presente bem pensado e significativo."
86,"Que notícia promissora."
87,"Estou fascinado pela cultura local."
88,"Que pessoa generosa."
89,"Experiência enriquecedora e educativa."
90,"Que filme intrigante."
91,"Estou satisfeito com meu progresso."
92,"Que situação injusta."
93,"Produto ecológico e sustentável."
94,"Que notícia tranquilizadora."
95,"Estou curioso para saber mais."
96,"Que atendimento personalizado."
97,"Praia paradisíaca, natureza preservada."
98,"Que filme realista."
99,"Estou honrado pela indicação."
100,"Que experiência transformadora."
