id,frase
1,"O futebol é o esporte mais popular do mundo."
2,"A moda sustentável está ganhando força no mercado."
3,"A física quântica revolucionou nosso entendimento do universo."
4,"O basquete exige muita agilidade e precisão."
5,"As tendências de moda mudam rapidamente a cada estação."
6,"A biologia molecular estuda os processos celulares."
7,"A natação é um exercício completo para o corpo."
8,"O jeans é uma peça atemporal no guarda-roupa."
9,"A astronomia nos permite explorar o cosmos."
10,"O tênis requer concentração e reflexos rápidos."
11,"As cores neutras são versáteis para qualquer ocasião."
12,"A genética é fundamental para entender a hereditariedade."
13,"A maratona testa os limites da resistência humana."
14,"O estilo casual conquistou o mundo fashion."
15,"A química orgânica estuda os compostos de carbono."
16,"O vôlei é um esporte de equipe muito dinâmico."
17,"Os acessórios podem transformar qualquer look."
18,"A neurociência busca compreender o cérebro humano."
19,"O boxe desenvolve disciplina e condicionamento físico."
20,"O vestido preto é um clássico indispensável."
21,"A ecologia preocupa-se com o equilíbrio ambiental."
22,"O surf conecta o atleta com a força do mar."
23,"As estampas florais são tendência na primavera."
24,"A matemática é a linguagem universal da ciência."
25,"O ciclismo combina exercício e contato com a natureza."
26,"O couro genuíno oferece durabilidade e estilo."
27,"A paleontologia revela segredos dos fósseis."
28,"O judo ensina valores como respeito e honra."
29,"O estilo minimalista valoriza a simplicidade."
30,"A robótica avança com inteligência artificial."
31,"O skate é uma expressão de liberdade urbana."
32,"As roupas oversized estão em alta."
33,"A geologia estuda a formação das rochas."
34,"O golfe exige precisão e paciência."
35,"O veludo traz elegância e sofisticação."
36,"A meteorologia prevê condições climáticas."
37,"O atletismo engloba diversas modalidades olímpicas."
38,"As bolsas artesanais valorizam o trabalho manual."
39,"A bioquímica une biologia e química."
40,"O rugby é um esporte de intenso contato físico."
41,"O estilo vintage retorna às passarelas."
42,"A oceanografia explora os mistérios marinhos."
43,"A escalada rock climbing desafia vertigens."
44,"Os tecidos tecnológicos revolucionaram o sportswear."
45,"A antropologia estuda as culturas humanas."
46,"O badminton é rápido e estratégico."
47,"A moda genderless quebra padrões tradicionais."
48,"A virologia tornou-se crucial após a pandemia."
49,"O hipismo exige sintonia entre cavalo e cavaleiro."
50,"As joias sustentáveis utilizam materiais reciclados."
